Date,Open,High,Low,Close,Adj Close,Volume,Class
12/8/2016,53.009998,53.400002,51.68,52.41,47.032284,20045000,Train
12/15/2016,52.759998,53.669998,50.77,53.09,47.642513,29286400,Train
12/22/2016,52.990002,53.41,52.080002,52.189999,46.834854,8300700,Train
12/29/2016,52.34,52.919998,51.700001,52.82,47.400204,10584300,Train
1/5/2017,53.049999,54.869999,52.82,54.560001,48.961678,17537500,Train
1/12/2017,54.220001,54.299999,52.650002,53.599998,48.100182,10985700,Train
1/19/2017,53.599998,55.889999,53.029999,55.830002,50.101364,14856500,Train
1/26/2017,56.810001,57.790001,54.75,55.470001,49.778301,16827000,Train
2/2/2017,55.450001,55.779999,55.02,55.59,49.88599,7828600,Train
2/9/2017,55.470001,56.93,55.450001,56.48,50.684666,14526800,Train
2/16/2017,56.34,56.459999,54.75,55.5,49.805229,13033600,Train
2/23/2017,56.619999,56.880001,55.59,56.5,51.022125,16666500,Train
3/2/2017,56.540001,56.669998,55.07,55.529999,50.146172,12376500,Train
3/9/2017,55.779999,57.540001,55.689999,57.369999,51.807777,13287000,Train
3/16/2017,57.27,58.759998,57.09,58.290001,52.638588,17459000,Train
3/23/2017,58.470001,60.240002,58.060001,58.959999,53.243626,23978700,Train
3/30/2017,59.369999,59.400002,58.34,58.799999,53.099133,20425000,Train
4/6/2017,58.630001,59.360001,57.470001,57.73,52.132877,19145600,Train
4/13/2017,57.77,59.049999,57.389999,58.68,52.990776,13694700,Train
4/20/2017,59.060001,60.689999,58.810001,60.549999,54.67947,14529200,Train
4/27/2017,60.900002,63.150002,60.869999,62.639999,56.566833,16740600,Train
5/4/2017,63.119999,63.41,62.040001,62.139999,56.115318,14791700,Train
5/11/2017,61.919998,62.16,59.68,59.75,53.957027,14436000,Train
5/18/2017,60.610001,62.240002,60.27,62.02,56.006947,12764800,Train
5/25/2017,62.52,64.330002,62.490002,64.07,58.23439,9898800,Train
6/1/2017,64.309998,66.480003,64.18,64.300003,58.443439,20062400,Train
6/8/2017,64.349998,65.290001,62.669998,64.760002,58.861538,15585800,Train
6/15/2017,64.290001,66.620003,64.07,66.43,60.379429,15296400,Train
6/22/2017,66.120003,67.300003,65.019997,66.099998,60.079491,19004400,Train
6/29/2017,66.029999,66.709999,65,66.540001,60.479412,9663100,Train
7/6/2017,65.68,66.480003,65.07,65.970001,59.96133,12939300,Train
7/13/2017,65.980003,67.25,65.57,66.769997,60.688457,12501800,Train
7/20/2017,66.980003,67.800003,66.470001,66.699997,60.62484,12459600,Train
7/27/2017,67.349998,68.290001,65.910004,67.5,61.351967,17236700,Train
8/3/2017,67.110001,68.870003,67.110001,68.160004,61.95187,15828700,Train
8/10/2017,68,69.239998,67.099998,68.870003,62.597183,15083100,Train
8/17/2017,68.809998,68.82,67.199997,67.720001,61.551941,12377000,Train
8/24/2017,68.139999,68.669998,67.5,68.540001,62.664295,8517200,Train
8/31/2017,68.889999,69.889999,65.949997,66.959999,61.219738,15337100,Train
9/7/2017,66.970001,68.449997,65.07,68.419998,62.554581,22603400,Train
9/14/2017,67.900002,69.080002,63.939999,64.480003,58.952351,26211000,Train
9/21/2017,64.669998,66.25,63.080002,63.68,58.220932,22610000,Train
9/28/2017,63.119999,65.419998,63.009998,65.190002,59.601486,18918300,Train
10/5/2017,64.959999,67.419998,64.919998,67.199997,61.439175,17524000,Train
10/12/2017,66.970001,68.5,66.779999,67.459999,61.676872,12761300,Train
10/19/2017,67.330002,67.379997,65.559998,65.839996,60.195755,14313800,Train
10/26/2017,66.239998,67.720001,64.150002,64.57,59.034634,14872300,Train
11/2/2017,64.57,67.809998,64.18,65.93,60.278049,16178000,Train
11/9/2017,65.669998,66.459999,63.599998,65.779999,60.140896,14253900,Train
11/16/2017,66.019997,67.309998,65.610001,66.790001,61.064312,9557300,Train
11/23/2017,66.669998,67.169998,65.470001,65.699997,60.473923,10742100,Train
11/30/2017,65.419998,67.879997,64.300003,66.059998,60.805286,18784000,Train
12/7/2017,66.029999,67.120003,65.360001,65.410004,60.207001,12266100,Train
12/14/2017,65.419998,69.169998,64.669998,67.699997,62.314846,23369000,Train
12/21/2017,67.449997,67.589996,65.629997,66.760002,61.449608,9200400,Train
12/28/2017,66.93,67.260002,66.059998,66.900002,61.578476,9465200,Train
1/4/2018,66.900002,68.879997,65.949997,67.949997,62.544956,15641400,Train
1/11/2018,68.830002,69.730003,68.150002,69.449997,63.925629,12839600,Train
1/18/2018,69.559998,71.489998,68.050003,71.169998,65.508827,21286000,Train
1/25/2018,71.169998,72.699997,70.379997,71.610001,65.913818,16316400,Train
2/1/2018,71.93,72.290001,66.769997,69.120003,63.621895,16352200,Train
2/8/2018,69.589996,70.07,64.800003,69.919998,64.358246,16810300,Train
2/15/2018,69.900002,70.559998,68.550003,69.580002,64.045288,9569000,Train
2/22/2018,69.239998,69.339996,66.900002,66.910004,61.587673,12387900,Train
3/1/2018,66.610001,67.300003,64.519997,66.010002,61.154785,15145500,Train
3/8/2018,66.449997,68.300003,66.379997,66.959999,62.034908,11375600,Train
3/15/2018,67.220001,68.949997,66.330002,67.059998,62.127548,19134600,Train
3/22/2018,68.720001,69.110001,64.25,64.639999,59.885551,26558700,Train
3/29/2018,64.82,65.949997,63.650002,64.980003,60.200542,14080500,Train
4/5/2018,65.199997,65.769997,61.889999,63.639999,58.959099,22317700,Train
4/12/2018,64.040001,65.339996,62.740002,65.269997,60.469208,17462500,Train
4/19/2018,65.239998,66.75,64.900002,66.07,61.210369,18259900,Train
4/26/2018,66.400002,66.559998,62.68,62.849998,58.2272,20819200,Train
5/3/2018,62.98,63.990002,62.27,63.950001,59.2463,16559400,Train
5/10/2018,63.990002,66,63.52,65.459999,60.645241,14016700,Train
5/17/2018,65.540001,65.580002,64.029999,64.68,59.922611,13882900,Train
5/24/2018,64.349998,64.629997,62.220001,62.880001,58.255005,14634600,Train
5/31/2018,63.040001,63.580002,60.299999,61.450001,57.373703,30371900,Train
6/7/2018,61.369999,63.889999,60.470001,63.830002,59.595825,20654800,Train
6/14/2018,64.449997,65.419998,62.630001,63,58.820881,21971900,Train
6/21/2018,62.919998,63.75,56.950001,58.07,54.217915,36890900,Train
6/28/2018,58.099998,58.189999,56.450001,56.759998,52.99482,20244400,Train
7/5/2018,57.07,58.860001,56.529999,57.990002,54.143223,24323500,Train
7/12/2018,58.310001,59.779999,57.630001,59.529999,55.58107,16518900,Train
7/19/2018,59.200001,59.330002,56.810001,57.77,53.937817,16704500,Train
7/26/2018,57.419998,59.5,57.360001,58.619999,54.73143,15347200,Train
8/2/2018,57.950001,59.459999,57.220001,58.599998,54.712757,14987700,Train
8/9/2018,59.09,60.32,58.290001,59.200001,55.272957,18932800,Train
8/16/2018,59.27,62.130001,59.16,61.869999,57.765839,16988900,Train
8/23/2018,60.77,62.529999,60.68,62.310001,58.176655,15114900,Train
8/30/2018,61.970001,62.040001,60.759998,60.950001,57.37051,9905200,Train
9/6/2018,61.490002,62.720001,61.049999,62.529999,58.857716,14291000,Train
9/13/2018,61.639999,66.370003,61.580002,66.209999,62.321598,23347600,Train
9/20/2018,66.730003,67.690002,65.910004,66.980003,63.046383,20314800,Train
9/27/2018,61.889999,64.769997,61.139999,62.619999,58.942432,32503600,Train
10/4/2018,62.59,62.709999,59.009998,59.060001,55.591503,19307700,Train
10/11/2018,59.119999,59.369999,57.509998,59,55.53503,18180900,Train
10/18/2018,58.869999,59.07,54.650002,54.75,51.534622,18985700,Train
10/25/2018,55.380001,56.419998,53.470001,56.040001,52.748863,25152200,Train
11/1/2018,56.389999,58.740002,56.119999,58.669998,55.224407,17450800,Train
11/8/2018,58.310001,59.990002,57.580002,59.240002,55.760937,16599300,Train
11/15/2018,58.66,60.32,58.080002,60.040001,56.51395,18681000,Train
11/22/2018,59.779999,62.52,59.779999,61.939999,58.793289,12817400,Train
11/29/2018,61.59,61.720001,58.080002,61.080002,57.976982,21147400,Train
12/6/2018,57.450001,58.98,55.450001,56.52,53.648643,17936600,Train
12/13/2018,56.84,57.310001,54.860001,55.009998,52.215355,23011600,Train
12/20/2018,52.150002,52.68,45.639999,47.5,45.08688,30966700,Train
